src_ip,dst_ip,src_port,dst_port,protocol,packet_count,duration,avg_packet_size
192.168.118.134,142.251.43.163,56992,443,UDP,11,7.319675,341.09
192.168.118.2,192.168.118.134,53,44032,UDP,2,0.000001,100.0
192.168.118.2,192.168.118.134,53,55208,UDP,1,0,135.0
192.168.118.134,216.58.200.177,46810,443,TCP,20,6.467598,244.65
192.168.118.134,216.58.200.177,46816,443,TCP,12,0.758133,230.67
192.168.118.134,192.168.118.2,43139,53,UDP,1,0,85.0
192.168.118.134,192.168.118.2,41666,53,UDP,2,0.000001,85.0
192.168.118.2,192.168.118.134,53,43139,UDP,1,0,171.0
192.168.118.134,192.168.118.2,47019,53,UDP,1,0,75.0
192.168.118.2,192.168.118.134,53,41666,UDP,2,0.004326,136.0
192.168.118.134,192.168.118.2,48359,53,UDP,2,0.000086,75.0
192.168.118.134,142.251.223.97,55526,443,TCP,16,2.160628,215.88
192.168.118.134,142.251.223.97,55538,443,TCP,10,1.149384,266.7
216.58.200.177,192.168.118.134,443,46810,TCP,21,6.384697,457.86
142.251.43.163,192.168.118.134,443,56992,UDP,26,7.312707,1008.69
216.58.200.177,192.168.118.134,443,46816,TCP,12,0.675347,616.92
192.168.118.2,192.168.118.134,53,48359,UDP,2,0.000001,97.0
192.168.118.2,192.168.118.134,53,47019,UDP,1,0,132.0
192.168.118.134,216.58.196.99,42612,443,TCP,28,1.121145,152.5
192.168.118.134,216.58.196.99,42626,443,TCP,11,0.962524,246.45
142.251.223.97,192.168.118.134,443,55526,TCP,16,2.094121,777.94
142.251.223.97,192.168.118.134,443,55538,TCP,10,1.054139,1178.6
216.58.196.99,192.168.118.134,443,42612,TCP,46,1.023133,2176.48
216.58.196.99,192.168.118.134,443,42626,TCP,11,0.864618,591.0
192.168.118.134,216.58.196.99,42630,443,TCP,12,0.915128,230.42
192.168.118.134,142.250.183.3,35196,80,TCP,26,122.224654,136.96
216.58.196.99,192.168.118.134,443,42630,TCP,12,0.818963,546.33
192.168.118.134,142.250.183.3,35210,80,TCP,26,123.175509,137.0
142.250.183.3,192.168.118.134,80,35196,TCP,24,122.124575,288.42
192.168.118.134,142.250.183.3,35218,80,TCP,24,122.114423,126.08
192.168.118.134,142.250.183.3,35234,80,TCP,4,5.592189,59.0
142.250.183.3,192.168.118.134,80,35210,TCP,24,123.074538,288.46
142.250.183.3,192.168.118.134,80,35218,TCP,22,122.029840,259.36
142.250.183.3,192.168.118.134,80,35234,TCP,3,5.508604,60.0
192.168.118.134,216.58.200.177,60554,443,UDP,8,0.532408,405.88
216.58.200.177,192.168.118.134,443,60554,UDP,13,0.424230,799.85
192.168.118.134,216.58.196.99,52624,443,UDP,39,7.413896,339.72
216.58.196.99,192.168.118.134,443,52624,UDP,269,7.461446,1224.97
192.168.118.134,192.168.118.2,54160,53,UDP,1,0,88.0
192.168.118.134,192.168.118.2,35148,53,UDP,2,0.000072,88.0
192.168.118.134,192.168.118.2,42362,53,UDP,1,0,86.0
192.168.118.134,192.168.118.2,60277,53,UDP,2,0.000153,86.0
192.168.118.2,192.168.118.134,53,54160,UDP,1,0,138.0
192.168.118.2,192.168.118.134,53,35148,UDP,2,0.000124,110.0
192.168.118.2,192.168.118.134,53,42362,UDP,1,0,136.0
192.168.118.2,192.168.118.134,53,60277,UDP,2,0.000123,108.0
192.168.118.134,216.58.200.170,34484,443,TCP,10,0.727666,268.6
192.168.118.134,172.217.26.106,33334,443,TCP,10,0.727389,268.4
192.168.118.134,172.217.26.106,33350,443,TCP,22,1.289001,243.59
192.168.118.134,172.217.26.106,33362,443,TCP,22,1.836276,180.95
192.168.118.134,216.58.200.170,34500,443,TCP,22,1.350732,247.91
192.168.118.134,216.58.200.170,34514,443,TCP,21,171.922852,185.67
172.217.26.106,192.168.118.134,443,33350,TCP,23,1.216268,1617.3
216.58.200.170,192.168.118.134,443,34514,TCP,21,171.819824,630.38
172.217.26.106,192.168.118.134,443,33334,TCP,10,0.623796,1202.4
216.58.200.170,192.168.118.134,443,34500,TCP,23,1.247617,600.22
216.58.200.170,192.168.118.134,443,34484,TCP,10,0.623795,1202.5
172.217.26.106,192.168.118.134,443,33362,TCP,23,1.732615,582.0
192.168.118.134,142.251.223.97,35329,443,UDP,11,5.542116,347.45
192.168.118.134,192.168.118.2,37461,53,UDP,1,0,79.0
192.168.118.134,192.168.118.2,39414,53,UDP,2,0.000081,79.0
192.168.118.2,192.168.118.134,53,39414,UDP,2,0.020005,101.0
142.251.223.97,192.168.118.134,443,35329,UDP,25,5.559347,904.96
192.168.118.2,192.168.118.134,53,37461,UDP,1,0,129.0
192.168.118.134,172.217.194.84,51960,443,TCP,18,1.077956,308.61
192.168.118.134,172.217.194.84,51966,443,TCP,11,0.765289,246.82
172.217.194.84,192.168.118.134,443,51966,TCP,11,0.654836,591.82
172.217.194.84,192.168.118.134,443,51960,TCP,19,0.967272,512.42
