src_ip,dst_ip,src_port,dst_port,protocol,packet_count,duration,total_bytes,avg_packet_size,min_iat,max_iat,mean_iat,std_iat,bytes_per_second,packets_per_second,avg_bytes_per_packet,dns_query_length,dns_subdomain_depth,dns_entropy,flag_high_packet,flag_long_duration,flag_high_dns_entropy,flag_deep_dns,suspicion_score,ml_anomaly_score,ml_score_normalized,rule_score_normalized,final_threat_score,severity
192.168.118.134,151.101.157.91,42258,443,TCP,9,0.314916,2632,292.44,2.8e-05,0.156427,0.039364,0.054254,8357.79,28.58,292.44,0,0,0.0,False,False,False,False,0,0.1888729752440914,0.992764866995508,0.0,0.3971059467982032,MEDIUM
192.168.118.134,151.101.157.91,42274,443,TCP,11,0.377655,2740,249.09,2.5e-05,0.154434,0.037766,0.055413,7255.3,29.13,249.09,0,0,0.0,False,False,False,False,0,0.1907343638147147,0.9975541133737024,0.0,0.399021645349481,MEDIUM
192.168.118.134,151.101.157.91,42282,443,TCP,10,0.37743,2686,268.6,7.9e-05,0.152383,0.041937,0.056305,7116.55,26.49,268.6,0,0,0.0,False,False,False,False,0,0.1904734783798495,0.9968828700643952,0.0,0.3987531480257581,MEDIUM
192.168.118.134,151.101.157.91,42294,443,TCP,9,0.377163,2632,292.44,3.1e-05,0.152982,0.047145,0.057747,6978.42,23.86,292.44,0,0,0.0,False,False,False,False,0,0.188563290420733,0.991968065649428,0.0,0.3967872262597711,MEDIUM
192.168.118.134,192.168.118.2,32775,53,UDP,2,9.5e-05,192,96.0,9.5e-05,9.5e-05,9.5e-05,0.0,2018311.7,21024.08,96.0,36,3,3.85,False,False,True,False,1,0.0813896856994749,0.7162165077264931,0.5,0.5864866030905973,MEDIUM
192.168.118.134,34.160.144.191,35942,443,TCP,9,0.289839,1221,135.67,2e-06,0.094021,0.03623,0.036671,4212.68,31.05,135.67,0,0,0.0,False,False,False,False,0,0.1837258602738953,0.9795216344334284,0.0,0.3918086537733714,MEDIUM
192.168.118.2,192.168.118.134,53,32775,UDP,2,2e-06,360,180.0,2e-06,2e-06,2e-06,0.0,188743680.0,1048576.0,180.0,36,3,3.85,False,False,True,False,1,-0.0261811714705736,0.4394428419634092,0.5,0.4757771367853637,MEDIUM
192.168.118.134,35.190.72.216,43799,443,UDP,8,0.308438,3398,424.75,0.000169,0.190058,0.044063,0.06417,11016.8,25.94,424.75,0,0,0.0,False,False,False,False,0,0.1831358068746577,0.9780034607700464,0.0,0.3912013843080186,MEDIUM
151.101.157.91,192.168.118.134,443,42258,TCP,9,0.219864,5104,567.11,1e-06,0.156084,0.027483,0.050914,23214.36,40.93,567.11,0,0,0.0,False,False,False,False,0,0.184335202446814,0.9810894370087684,0.0,0.3924357748035074,MEDIUM
34.160.144.191,192.168.118.134,443,35942,TCP,9,0.219862,785,87.22,7.7e-05,0.093128,0.027483,0.035442,3570.42,40.93,87.22,0,0,0.0,False,False,False,False,0,0.1716736548565484,0.948511998909044,0.0,0.3794047995636176,MEDIUM
151.101.157.91,192.168.118.134,443,42236,TCP,10,0.282726,5158,515.8,1e-06,0.155298,0.031414,0.054992,18243.81,35.37,515.8,0,0,0.0,False,False,False,False,0,0.1860439852262133,0.9854860374104882,0.0,0.3941944149641953,MEDIUM
151.101.157.91,192.168.118.134,443,42294,TCP,9,0.282358,5104,567.11,0.0,0.152542,0.035295,0.056276,18076.35,31.87,567.11,0,0,0.0,False,False,False,False,0,0.1871466095849723,0.9883230268494678,0.0,0.3953292107397871,MEDIUM
151.101.157.91,192.168.118.134,443,42274,TCP,11,0.282359,5212,473.82,0.0,0.153982,0.028236,0.052674,18458.78,38.96,473.82,0,0,0.0,False,False,False,False,0,0.1836873015995109,0.9794224251686042,0.0,0.3917689700674417,MEDIUM
151.101.157.91,192.168.118.134,443,42242,TCP,21,171.277905,6499,309.48,0.0,58.904339,8.563895,20.321019,37.94,0.12,309.48,0,0,0.0,False,False,False,False,0,0.0353046402844238,0.5976423205168614,0.0,0.2390569282067445,LOW
151.101.157.91,192.168.118.134,443,42282,TCP,10,0.282504,5164,516.4,1e-06,0.152105,0.031389,0.054074,18279.38,35.4,516.4,0,0,0.0,False,False,False,False,0,0.1860439852262133,0.9854860374104882,0.0,0.3941944149641953,MEDIUM
192.168.118.134,35.190.72.216,55158,443,TCP,16,171.26107,3133,195.81,3e-05,58.9197,11.417405,22.73682,18.29,0.09,195.81,0,0,0.0,False,False,False,False,0,0.0111134730989337,0.5353998303372816,0.0,0.2141599321349126,LOW
35.190.72.216,192.168.118.134,443,43799,UDP,11,0.344414,6191,562.82,0.0,0.189086,0.034441,0.060359,17975.46,31.94,562.82,0,0,0.0,False,False,False,False,0,0.1875582511688419,0.989382157111561,0.0,0.3957528628446244,MEDIUM
35.190.72.216,192.168.118.134,443,55158,TCP,17,171.18378,4819,283.47,0.0,58.920217,10.698986,22.197358,28.15,0.1,283.47,0,0,0.0,False,False,False,False,0,0.0147421588742966,0.5447362313883758,0.0,0.2178944925553503,LOW
192.168.118.134,192.168.118.2,51615,53,UDP,2,0.000161,188,94.0,0.000161,0.000161,0.000161,0.0,1168191.34,12427.57,94.0,34,3,4.124,False,False,True,False,1,0.0754580828298874,0.7009548326477929,0.5,0.5803819330591171,MEDIUM
192.168.118.134,192.168.118.2,36120,53,UDP,2,0.000148,152,76.0,0.000148,0.000148,0.000148,0.0,1026625.13,13508.23,76.0,16,2,3.5,False,False,False,False,0,0.1521804600695074,0.8983571231315421,0.0,0.3593428492526169,MEDIUM
